rank,title,artist,play_count
1,Don't Stop Believin',Journey,56
2,Summer of '69,Bryan Adams,52
3,Teenage Dirtbag,Wheatus,50
4,Stacy's Mom,Fountains of Wayne,50
5,I Love Rock and Roll,Britney Spears,35
6,Wonderwall,Oasis,34
7,Drops of Jupiter,Train,31
8,Living Next Door To Alice,Smokie,30
9,Man I Feel Like A Woman,Shania Twain,28
10,1985,Bowling For Soup,28
11,Uptown Funk,Mark Ronson & Bruno Mars,27
12,Sk8Ter Boi,Avril Lavigne,26
13,Sweet Caroline (Good Times Never Seemed,Neil Diamond,26
14,Someone Like You,Adele,26
15,Sweet Caroline,"Diamond, Neil",24
16,"Gambler, The","Rogers, Kenny",24
17,Bohemian Hapsody,Queen,24
18,Sex On Fire,Kings of Lion,24
19,Piano Man,Billy Joel,24
20,Mr Brightside,Killers,23
21,My Way,Frank Sinatra,23
22,Dancing Queen,Abba,23
23,Simply The Best,Tina Turner,23
24,Kryptonite,3 Doors Down,23
25,Wannabe,Spice Girls,22
26,All Star,Smash Mouth,22
27,Angels,Robbie Williams,22
28,She Always Gets What She Needs,Prime Circle,22
29,Sweet Caroline (Good Time Never Seemed S,Neil Diamond,22
30,Kaptein (Span Die Seile),Kurt Darren,21
31,Blame It On Me,George Ezra,20
32,Budapest,George Ezra,20
33,All of Me,John Legend,19
34,Because I Got High,Afroman,19
35,Love Yourself,Justin Bieber,19
36,Bohemian Rhapsody,Queen,18
37,Thinking Out Loud,Ed Sheeran,18
38,Zombie,Cranberries,17
39,Save Tonight,Eagle Eye Cherry,17
40,I'm Gonna Be (500 Miles),Proclaimers,17
41,I Want It That Way,Backstreet Boys,17
42,Pour Some Sugar On Me,Def Leppard,17
43,Don't Stop Believin,Journey,16
44,Lose Yourself,Eminem,16
45,Need You Now,Lady Antebellum,16
46,I Will Survive,"Gaynor, Gloria",16
47,Dancing On My Own,Calum Scott,15
48,Boulevard of Broken Dreams,Green Day,15
49,Rockstar,Nickelback,15
50,Eye of The Tiger,Survivor,15
